Time[s], Channel 7, Channel 9
18.174688000000000, 0, 0
18.418291999999997, 0, 1
18.418697999999999, 0, 0
18.505013999999999, 1, 0
18.505026000000001, 0, 0
18.720521999999999, 0, 1
18.720928000000001, 0, 0
18.835353999999999, 1, 0
18.835363999999998, 0, 0
19.022752000000001, 0, 1
19.023157999999999, 0, 0
19.055578000000001, 1, 0
19.055589999999999, 0, 0
19.324981999999999, 0, 1
19.325388000000000, 0, 0
19.385915999999998, 1, 0
19.385928000000000, 0, 0
19.627212000000000, 0, 1
19.627620000000000, 0, 0
19.929441999999998, 0, 1
19.929852000000000, 0, 0
20.046593999999999, 1, 0
20.046603999999999, 0, 0
20.156706000000000, 1, 0
20.156717999999998, 0, 0
20.231687999999998, 0, 1
20.232174000000001, 0, 0
20.266818000000001, 1, 0
20.266829999999999, 0, 0
20.533901999999998, 0, 1
20.534309999999998, 0, 0
20.597158000000000, 1, 0
20.597168000000000, 0, 0
20.836131999999999, 0, 1
20.836539999999999, 0, 0
20.927495999999998, 1, 0
20.927505999999997, 0, 0
21.138363999999999, 0, 1
21.138769999999997, 0, 0
21.147720000000000, 1, 0
21.147731999999998, 0, 0
21.440593999999997, 0, 1
21.440999999999999, 0, 0
21.742837999999999, 0, 1
21.743326000000000, 0, 0
21.808398000000000, 1, 0
21.808408000000000, 0, 0
21.918509999999998, 1, 0
21.918521999999999, 0, 0
22.045054000000000, 0, 1
22.045459999999999, 0, 0
22.248847999999999, 1, 0
22.248860000000001, 0, 0
22.347283999999998, 0, 1
22.347690000000000, 0, 0
22.358960000000000, 1, 0
22.358971999999998, 0, 0
22.649514000000000, 0, 1
22.649922000000000, 0, 0
22.799412000000000, 1, 0
22.799422000000000, 0, 0
22.951743999999998, 0, 1
22.952151999999998, 0, 0
23.019638000000000, 1, 0
23.019648000000000, 0, 0
23.253973999999999, 0, 1
23.254382000000000, 0, 0
23.349975999999998, 1, 0
23.349985999999998, 0, 0
23.556220000000000, 0, 1
23.556704000000000, 0, 0
23.790409999999998, 1, 0
23.790422000000000, 0, 0
23.858433999999999, 0, 1
23.858841999999999, 0, 0
23.900523999999997, 1, 0
23.900534000000000, 0, 0
24.160665999999999, 0, 1
24.161071999999997, 0, 0
24.230878000000001, 1, 0
24.230888000000000, 0, 0
24.462896000000001, 0, 1
24.463301999999999, 0, 0
24.561215999999998, 1, 0
24.561225999999998, 0, 0
24.765262000000000, 0, 1
24.765747999999999, 0, 0
24.781412000000000, 1, 0
24.781421999999999, 0, 0
25.067477999999998, 0, 1
25.067883999999999, 0, 0
25.221861999999998, 1, 0
